asset_id,event_date,fault_type,duration_minutes,weather_stress_index,load_index
A001,2025-01-08,overcurrent,42,0.30,0.72
A001,2025-03-19,insulation,65,0.41,0.75
A001,2025-09-02,overcurrent,38,0.28,0.70
A001,2026-01-11,unknown,55,0.52,0.78
A002,2025-02-03,connector,30,0.22,0.63
A002,2025-07-17,overcurrent,47,0.35,0.69
A002,2025-12-06,insulation,80,0.58,0.81
A003,2025-01-22,breaker,120,0.33,0.66
A003,2025-05-10,transformer,180,0.40,0.71
A003,2025-10-21,breaker,95,0.29,0.68
A003,2026-01-27,transformer,160,0.61,0.84
A004,2025-02-14,overcurrent,50,0.26,0.67
A004,2025-04-28,connector,33,0.31,0.64
A004,2025-08-12,overcurrent,44,0.37,0.73
A004,2025-11-29,unknown,60,0.55,0.79
A005,2025-03-07,insulation,72,0.43,0.70
A005,2025-06-25,connector,28,0.25,0.62
A005,2025-09-30,overcurrent,39,0.34,0.74
A006,2025-01-15,breaker,110,0.32,0.65
A006,2025-07-03,transformer,170,0.49,0.77
A006,2025-12-18,breaker,130,0.60,0.83
A007,2025-02-26,overcurrent,45,0.29,0.68
A007,2025-05-31,connector,26,0.24,0.61
A007,2025-08-26,overcurrent,41,0.36,0.72
A007,2026-01-05,insulation,88,0.63,0.86
A008,2025-03-21,insulation,90,0.44,0.76
A008,2025-06-08,connector,31,0.27,0.66
A008,2025-11-10,overcurrent,48,0.56,0.80
A009,2025-01-04,transformer,200,0.35,0.69
A009,2025-04-16,breaker,105,0.30,0.64
A009,2025-09-18,transformer,190,0.47,0.78
A009,2026-01-20,breaker,140,0.62,0.85
A010,2025-02-09,overcurrent,36,0.23,0.60
A010,2025-10-05,connector,29,0.33,0.67
A011,2025-03-11,insulation,70,0.40,0.71
A011,2025-07-29,overcurrent,46,0.38,0.74
A011,2025-12-22,unknown,58,0.59,0.82
A012,2025-01-28,connector,27,0.21,0.59
A012,2025-06-19,overcurrent,43,0.34,0.72
A012,2025-11-27,insulation,77,0.57,0.81
